No,Student ID,First Name,Last Name,Gender,Date of Birth,Social ID
1,22120090,Nguyen Van,Hai,Nam,1/1/2004,143
2,22120091,Pham Khanh ,Han,Nam,2/2/2004,144
3,22120092,Tran Ha Le ,Han,Nu,3/3/2004,145
4,22120094,Le Hong ,Hanh,Nu,4/4/2004,146
5,22120095,Nguyen Xuan ,Hanh,Nam,5/5/2004,147
6,22120096,Kieu Tran Nhat ,Hao,Nu,6/6/2004,148
7,22120097,Nguyen Anh ,Hao,Nam,7/7/2004,149
8,22120098,Phan Anh ,Hao,Nam,8/8/2004,150
9,22120099,Tran Gia ,Hao,Nu,9/9/2004,151
10,22120100,Pham Tran Trung ,Hau,Nu,10/10/2004,152
11,22120101,Nguyen Van,Hien,Nam,11/11/2004,153
12,22120102,Tran Xuan Minh ,Hien,Nu,12/12/2004,154
13,22120104,Tang Duc,Hiep,Nam,2/1/2004,155
14,22120106,Vo Phi ,Ho,Nu,3/1/2004,156
15,22120107,Phan Van ,Hoa,Nam,4/1/2004,157
16,22120110,Dang Minh,Hoang,Nam,3/2/2004,158
17,22120112,Nguyen Ngoc ,Hoang,Nam,4/3/2004,159
18,22120113,Nguyen Viet ,Hoang,Nam,5/4/2004,160
19,22120114,Quach Te,Hoang,Nam,5/6/2004,161
20,22120115,Do Thai ,Hoc,Nu,7/9/2004,162
