No,Student ID,First Name,Last Name,Gender,Date of Birth,Social ID
1,22110001,Luong Thanh,Nam,Nam,1/1/2004,143
2,22110002,Truong Binh,Ba,Nam,2/2/2004,144
3,22110003,Nguyen Thi Xuan,Huong,Nu,3/3/2004,145
4,22110004,Phan Thi Ngoc,Linh,Nu,4/4/2004,146
5,22110005,Tran Anh,Quoc,Nam,5/5/2004,147
6,22110006,Duong Thi,Tham,Nu,6/6/2004,148
7,22110007,Tu,Thuc,Nam,7/7/2004,149
8,22110008,Le Tuan Minh,Thanh,Nam,8/8/2004,150
9,22110009,Cao Thi,Hau,Nu,9/9/2004,151
10,22110010,Cao Thi,Phuc,Nu,10/10/2004,152
11,22110011,Nguyen Ngoc,Hien,Nam,11/11/2004,153
12,22110012,Nguyen Pham Anh,Tri,Nu,12/12/2004,154
13,22110013,Le,Tan,Nam,2/1/2004,155
14,22110014,Nguyen Thi Minh,Tam,Nu,3/1/2004,156
15,22110015,Hoang Phan Tuan,Anh,Nam,4/1/2004,157
16,22110016,Tran Le,Duy,Nam,3/2/2004,158
17,22110017,Nguyen Truong,Hung,Nam,4/3/2004,159
18,22110018,Nguyen Van,Bao,Nam,5/4/2004,160
19,22110019,Nguyen Quoc,Bao,Nam,5/6/2004,161
20,22110020,Dinh Bao Chau,Thi,Nu,7/9/2004,162
